Date,Close
2015-08-06,33.51
2015-08-07,33.22
2015-08-10,33.16
2015-08-11,34.52
2015-08-12,34.57
2015-08-13,34.33
2015-08-14,34.47
2015-08-17,34.71
2015-08-18,34.44
2015-08-19,34.7
2015-08-20,33.97
2015-08-21,32.2
2015-08-24,30.91
2015-08-25,30.62
2015-08-26,32.99
2015-08-27,33.4
2015-08-28,32.98
2015-08-31,32.39
2015-09-01,31.48
2015-09-02,32.25
2015-09-03,31.85
2015-09-04,31.45
2015-09-08,32.19
2015-09-09,32.17
2015-09-10,32.55
2015-09-11,32.77
2015-09-14,32.62
2015-09-15,33.25
2015-09-16,33.28
2015-09-17,33.58
2015-09-18,33.05
2015-09-21,33.35
2015-09-22,32.66
2015-09-23,32.66
2015-09-24,32.75
2015-09-25,32.01
2015-09-28,31.21
2015-09-29,31.13
2015-09-30,31.92
2015-10-01,32.1
2015-10-02,32.85
2015-10-05,33.58
2015-10-06,33.58
2015-10-07,33.5
2015-10-08,33.35
2015-10-09,33.56
2015-10-12,33.82
2015-10-13,34.16
2015-10-14,34.02
2015-10-15,34.65
2015-10-16,34.77
2015-10-19,35
2015-10-20,34
2015-10-21,33.59
2015-10-22,34.06
2015-10-23,35.97
2015-10-26,36.56
2015-10-27,36.64
2015-10-28,36.85
2015-10-29,37.24
2015-10-30,36.87
2015-11-02,37.39
2015-11-03,37.44
2015-11-04,37.77
2015-11-05,38.03
2015-11-06,38.08
2015-11-09,37.74
2015-11-10,37.91
2015-11-11,38.26
2015-11-12,37.83
2015-11-13,37
2015-11-16,37.52
2015-11-17,37.3
2015-11-18,38
2015-11-19,38
2015-11-20,38.85
2015-11-23,38.84
2015-11-24,38.48
2015-11-25,38.46
2015-11-27,38.6
2015-11-30,38.14
2015-12-01,39.19
2015-12-02,38.89
2015-12-03,38.41
2015-12-04,38.96
2015-12-07,38.65
2015-12-08,38.76
2015-12-09,38.13
2015-12-10,38
2015-12-11,37.52
2015-12-14,38.13
2015-12-15,38
2015-12-16,38.83
2015-12-17,38.49
2015-12-18,37.84
2015-12-21,38.04
2015-12-22,38.36
2015-12-23,38.43
2015-12-24,38.29
2015-12-28,39.11
2015-12-29,39.7
2015-12-30,39.52
2015-12-31,38.9
2016-01-04,37.97
2016-01-05,38.08
2016-01-06,37.97
2016-01-07,37.05
2016-01-08,36.55
2016-01-11,36.65
2016-01-12,37.27
2016-01-13,35.98
2016-01-14,36.57
2016-01-15,35.52
2016-01-19,35.95
2016-01-20,35.93
2016-01-21,36.33
2016-01-22,37.27
2016-01-25,36.68
2016-01-26,36.69
2016-01-27,35.88
2016-01-28,37.42
2016-01-29,38.07
2016-02-01,38.54
2016-02-02,39.05
2016-02-03,37.47
2016-02-04,36.5
2016-02-05,35.19
2016-02-08,35.21
2016-02-09,35.05
2016-02-10,35.34
2016-02-11,35.32
2016-02-12,35.34
2016-02-16,35.88
2016-02-17,36.6
2016-02-18,35.88
2016-02-19,36.11
2016-02-22,36.45
2016-02-23,35.86
2016-02-24,36.05
2016-02-25,36.46
2016-02-26,36.24
2016-02-29,35.86
2016-03-01,37.11
2016-03-02,36.97
2016-03-03,36.58
2016-03-04,36.51
2016-03-07,35.64
2016-03-08,35.68
2016-03-09,36.27
2016-03-10,36.61
2016-03-11,37.24
2016-03-14,37.51
2016-03-15,37.53
2016-03-16,37.87
2016-03-17,37.92
2016-03-18,37.77
2016-03-21,38.11
2016-03-22,38
2016-03-23,37.88
2016-03-24,37.74
2016-03-28,37.66
2016-03-29,38.29
2016-03-30,38.42
2016-03-31,38.15
2016-04-01,38.48
2016-04-04,38.26
2016-04-05,37.93
2016-04-06,38.4
2016-04-07,38.01
2016-04-08,37.97
2016-04-11,37.88
2016-04-12,38.22
2016-04-13,38.6
2016-04-14,38.77
2016-04-15,39
2016-04-18,39.38
2016-04-19,38.81
2016-04-20,38.75
2016-04-21,39
2016-04-22,36.89
2016-04-25,37.11
2016-04-26,36.27
2016-04-27,36.07
2016-04-28,35.25
2016-04-29,35.39
2016-05-02,35.72
2016-05-03,35.42
2016-05-04,35.57
2016-05-05,35.74
2016-05-06,36.26
2016-05-09,36.46
2016-05-10,36.97
2016-05-11,36.53
2016-05-12,36.4
2016-05-13,36.24
2016-05-16,36.52
2016-05-17,36.01
2016-05-18,36.09
2016-05-19,35.77
2016-05-20,36.09
2016-05-23,35.86
2016-05-24,36.65
2016-05-25,36.91
2016-05-26,36.85
2016-05-27,37.38
2016-05-31,37.44
2016-06-01,37.42
2016-06-02,37.21
2016-06-03,36.79
2016-06-06,36.5
2016-06-07,36.55
2016-06-08,37.15
2016-06-09,37.13
2016-06-10,36.66
2016-06-13,36.59
2016-06-14,36.66
2016-06-15,36.61
2016-06-16,36.21
2016-06-17,35.21
2016-06-20,35.31
2016-06-21,35.44
2016-06-22,35.52
2016-06-23,35.74
2016-06-24,34.26
2016-06-27,34.06
2016-06-28,34.56
2016-06-29,34.76
2016-06-30,35.18
2016-07-01,35.51
2016-07-05,35.24
2016-07-06,35.45
2016-07-07,35.36
2016-07-08,35.89
2016-07-11,36.36
2016-07-12,36.63
2016-07-13,36.47
2016-07-14,36.79
2016-07-15,36.78
2016-07-18,37.66
2016-07-19,37.67
2016-07-20,37.85
2016-07-21,37.72
2016-07-22,37.96
2016-07-25,37.88
2016-07-26,37.88
2016-07-27,38.1
2016-07-28,38.29
2016-07-29,39.57
2016-08-01,40.05
2016-08-02,40.01
2016-08-03,39.95
2016-08-04,39.86
2016-08-05,40.35
2016-08-08,40.26
2016-08-09,40.37
2016-08-10,40.42
2016-08-11,40.41
2016-08-12,40.35
2016-08-15,40.3
2016-08-16,40.06
2016-08-17,40.27
2016-08-18,40.14
2016-08-19,39.98
2016-08-22,39.85
2016-08-23,39.83
2016-08-24,39.68
2016-08-25,39.57
2016-08-26,39.66
2016-08-29,39.79
2016-08-30,39.6
2016-08-31,39.49
2016-09-01,39.57
2016-09-02,39.84
2016-09-06,40.4
2016-09-07,40.4
2016-09-08,40.14
2016-09-09,39.42
2016-09-12,39.94
2016-09-13,39.44
2016-09-14,39.52
2016-09-15,40.06
2016-09-16,39.9
2016-09-19,39.77
2016-09-20,39.99
2016-09-21,40.25
2016-09-22,40.8
2016-09-23,40.75
2016-09-26,40.13
2016-09-27,40.54
2016-09-28,40.5
2016-09-29,40.13
2016-09-30,40.2
2016-10-03,40.02
2016-10-04,40.14
2016-10-05,40.06
2016-10-06,40.15
2016-10-07,40.04
2016-10-10,40.71
2016-10-11,40.48
2016-10-12,40.59
2016-10-13,40.2
2016-10-14,40.23
2016-10-17,40.34
2016-10-18,41.07
2016-10-19,41.35
2016-10-20,41.08
2016-10-21,41.2
2016-10-24,41.79
2016-10-25,41.43
2016-10-26,41.11
2016-10-27,40.87
2016-10-28,40.98
2016-10-31,40.49
2016-11-01,40.27
2016-11-02,39.42
2016-11-03,39.11
2016-11-04,39.06
2016-11-07,40.1
2016-11-08,40.6
2016-11-09,40.28
2016-11-10,39.01
2016-11-11,38.59
2016-11-14,37.66
2016-11-15,38.76
2016-11-16,39
2016-11-17,39.31
2016-11-18,38.8
2016-11-21,39.24
2016-11-22,39.25
2016-11-23,38.95
2016-11-25,39.01
2016-11-28,39.29
2016-11-29,39.47
2016-11-30,38.79
2016-12-01,38.22
2016-12-02,38.22
2016-12-05,38.91
2016-12-06,38.81
2016-12-07,39.57
2016-12-08,39.76
2016-12-09,40.47
2016-12-12,40.4
2016-12-13,40.77
2016-12-14,40.89
2016-12-15,40.78
2016-12-16,40.49
2016-12-19,40.63
2016-12-20,40.76
2016-12-21,40.61
2016-12-22,40.48
2016-12-23,40.39
2016-12-27,40.5
2016-12-28,40.23
2016-12-29,40.14
2016-12-30,39.62
2017-01-03,40.4
2017-01-04,40.39
2017-01-05,40.65
2017-01-06,41.26
2017-01-09,41.36
2017-01-10,41.3
2017-01-11,41.49
2017-01-12,41.48
2017-01-13,41.55
2017-01-17,41.37
2017-01-18,41.45
2017-01-19,41.22
2017-01-20,41.41
2017-01-23,42.22
2017-01-24,42.48
2017-01-25,42.92
2017-01-26,42.85
2017-01-27,42.25
2017-01-30,41.19
2017-01-31,41.01
2017-02-01,40.76
2017-02-02,40.91
2017-02-03,41.01
2017-02-06,41.08
2017-02-07,41.46
2017-02-08,41.49
2017-02-09,41.5
2017-02-10,41.74
2017-02-13,41.95
2017-02-14,42
2017-02-15,41.87
2017-02-16,42.11
2017-02-17,42.33
2017-02-21,42.46
2017-02-22,42.57
